Time,Voltage
0,1520
5,1440
10,1425
15,1425
20,1457
25,1441
30,1440
35,1441
40,1440
45,1409
50,1424
55,1425
60,1425
65,1424
70,1424
75,1408
80,1424
85,1409
90,1409
95,1425
100,1424
105,1408
110,1425
116,1424
121,1408
126,1424
131,1408
136,1425
141,1409
146,1408
151,1408
156,1408
161,1408
166,1408
171,1409
176,1408
181,1408
186,1409
191,1408
196,1409
201,1409
206,1408
211,1408
217,1408
222,1408
227,1408
232,1408
237,1409
242,1392
247,1408
252,1408
257,1409
262,1392
267,1408
272,1408
277,1408
282,1408
287,1409
292,1409
297,1392
303,1392
308,1393
313,1408
318,1393
323,1392
328,1393
333,1393
338,1393
343,1392
348,1393
353,1393
358,1393
363,1392
368,1392
373,1392
378,1392
383,1392
388,1393
393,1393
399,1393
404,1392
409,1393
414,1393
419,1393
424,1376
429,1377
434,1377
439,1377
444,1392
449,1377
454,1376
459,1393
464,1376
469,1408
474,1408
479,1409
484,1392
489,1409
494,1408
500,1409
505,1408
510,1393
515,1392
520,1393
525,1393
530,1393
535,1393
540,1392
545,1393
550,1393
555,1392
560,1392
565,1393
570,1393
575,1393
580,1393
586,1393
591,1392
596,1392
601,1393
606,1392
611,1393
616,1393
621,1393
626,1393
631,1377
636,1377
641,1393
646,1377
651,1392
656,1376
661,1377
666,1392
671,1361
676,1360
681,1377
687,1376
692,1360
697,1360
702,1361
707,1361
712,1361
717,1360
722,1361
727,1360
732,1360
737,1361
742,1361
747,1360
752,1361
757,1345
762,1361
767,1344
773,1344
778,1345
783,1344
788,1361
793,1345
798,1345
803,1329
808,1345
813,1345
818,1344
823,1344
828,1344
833,1345
838,1344
843,1329
848,1328
854,1328
859,1345
864,1344
869,1345
874,1328
879,1329
884,1328
889,1328
894,1328
899,1328
904,1328
909,1328
914,1329
919,1328
925,1329
930,1329
935,1328
940,1313
945,1329
950,1312
955,1329
960,1329
965,1328
970,1328
975,1312
980,1328
985,1328
990,1329
995,1329
1000,1312
1006,1329
1011,1313
1016,1312
1021,1312
1026,1312
1031,1313
1036,1312
1041,1313
1046,1313
1051,1313
1056,1313
1061,1312
1066,1313
1071,1312
1076,1313
1081,1296
1086,1312
1092,1313
1097,1313
1102,1296
1107,1297
1112,1313
1117,1312
1122,1297
1127,1312
1132,1296
1137,1297
1142,1313
1147,1312
1152,1313
1157,1313
1162,1313
1167,1297
1173,1296
1178,1296
1183,1312
1188,1297
1193,1296
1198,1297
1203,1297
1208,1296
1213,1296
1218,1297
1223,1296
1228,1296
1233,1297
1238,1296
1244,1297
1249,1297
1254,1280
1259,1280
1264,1280
1269,1281
1274,1281
1279,1280
1284,1265
1289,1280
1294,1281
1299,1264
1304,1264
1309,1265
1314,1249
1319,1249
1324,1264
1330,1249
1335,1264
1340,1248
1345,1248
1350,1232
1355,1233
1360,1232
1365,1217
1370,1217
1375,1201
1380,1200
1385,1184
1390,1168
1395,1169
1400,1153
1405,1153
1411,1136
1416,1121
1421,1121
1426,1104
1431,16
1436,16
1441,17
1446,17
1451,16
1456,17
